ccode,year,cabbr,count,latitude,longitude,literacy,refugees,lnRefs,lnGDP,lnTrade,PolityLag
481,1999,GAB,0,-0.650479019,11.99440956,63,15100,9.622449875,9.575053215,4.582223415,-4
481,2000,,0,-0.650479019,11.99440956,63,18000,9.798127174,9.535694122,4.622046471,-4
481,2001,,0,-0.650479019,11.99440956,63,15600,9.655026436,9.53749752,4.522598743,-4
481,2002,,0,-0.650479019,11.99440956,63,13500,9.510444641,9.516525269,4.476270199,-4
481,2003,,0,-0.650479019,11.99440956,63,14000,9.546813011,9.523556709,4.459217072,-4
481,2004,,0,-0.650479019,11.99440956,63,13787,9.531481743,9.520251274,4.53781414,-4
481,2005,,0,-0.650479019,11.99440956,63,8545,9.05310154,9.533965111,4.503371239,-4
481,2006,,0,-0.650479019,11.99440956,63,,,9.530233383,4.48976469,-4
481,2007,,0,-0.650479019,11.99440956,63,,,9.569768906,4.52321434,-4
482,1995,,0,6.504555225,20.60242081,41,33900,10.43117046,6.596414566,3.872846127,
482,1996,,0,6.504555225,20.60242081,42,36600,10.50780392,6.530289173,3.647080421,5
482,1997,CAF,0,6.504555225,20.60242081,43,38500,10.55841351,6.557714462,3.794296741,5
482,1998,,0,6.504555225,20.60242081,44,43000,10.6689558,6.580765247,3.743725061,5
482,1999,CAF,0,6.504555225,20.60242081,45,49300,10.80567932,6.594852924,3.246897459,5
482,2000,,0,6.504555225,20.60242081,47.5,55700,10.92773533,6.598001003,3.780941963,5
482,2001,CAF,0,6.504555225,20.60242081,50,49200,10.80364895,6.582824707,3.625145435,5
482,2002,,1,6.504555225,20.60242081,52.5,50700,10.83368111,6.560747623,3.573678255,5
482,2003,,0,6.504555225,20.60242081,55,44800,10.7099638,6.465947628,3.402549982,5
482,2004,,0,6.504555225,20.60242081,57.5,25020,10.12743092,6.463575363,3.455969095,-1
482,2005,,0,6.504555225,20.60242081,60,24569,10.10924053,6.467977047,3.526669741,-1
482,2006,,1,6.504555225,20.60242081,62.5,,,6.489841461,3.582140446,-1
482,2007,,0,6.504555225,20.60242081,65,,,6.512722492,3.611296415,-1
483,1995,,0,15.31418991,18.80825996,35,100,4.60517025,6.817653656,4.019918442,
483,1996,,0,15.31418991,18.80825996,36.5,100,4.60517025,6.807095528,3.841815948,-4
483,1997,TCD,1,15.31418991,18.80825996,38,300,5.703782558,6.82930994,3.898189783,-2
483,1998,,1,15.31418991,18.80825996,39.5,8800,9.082507133,6.863093853,3.872429132,-2
483,1999,TCD,1,15.31418991,18.80825996,41,23500,10.06475544,6.821793079,3.922129154,-2
483,2000,,1,15.31418991,18.80825996,42.5,17700,9.781319618,6.777371407,3.942962885,-2
483,2001,TCD,1,15.31418991,18.80825996,44,13000,9.472704887,6.850840569,4.163900375,-2
483,2002,,1,15.31418991,18.80825996,45.5,33500,10.41930103,6.894785404,4.839062214,-2
483,2003,,0,15.31418991,18.80825996,47,146400,11.89409828,6.994846344,4.423395634,-2
